species_source,ID,Prediction,Protein description,description,bit_score,full_score,final_rank_score,full_evalue,virulence_literature,quantum_cluster
pomegranate,WP_306291509.1,OTHER,XopAG/AvrGf1 family type III secretion system effector [Xanthomonas citri],,1109,,1109.0,,possible_virulence,1
pomegranate,WP_005932979.1,OTHER,XopAG/AvrGf1 family type III secretion system effector [Xanthomonas citri],,1058,,1058.0,,possible_virulence,1
pomegranate,WP_192486489.1,OTHER,IS5 family transposase [Xanthomonas citri],Transposase,931,69.4,1000.4,4.4e-19,,1
pomegranate,WP_192486500.1,OTHER,IS5 family transposase [Xanthomonas citri],Transposase,931,69.4,1000.4,4.4e-19,,1
pomegranate,WP_160964032.1,OTHER,MULTISPECIES: IS5 family transposase [Lysobacteraceae],Transposase,930,69.4,999.4,4.4e-19,,1
pomegranate,WP_233700267.1,OTHER,hypothetical protein [Xanthomonas citri],,885,,885.0,,,1
pomegranate,WP_176558553.1,OTHER,MULTISPECIES: IS3 family transposase [Xanthomonas],Integrase,771,88.0,859.0,3.9e-25,,0
pomegranate,WP_087947207.1,OTHER,IS3-like element ISXca2 family transposase [Xanthomonas citri],Integrase,764,93.6,857.6,7.1e-27,,0
pomegranate,WP_425525089.1,OTHER,IS3 family transposase [Xanthomonas citri],Integrase,768,88.1,856.1,3.6999999999999996e-25,,0
xoo,WP_242505180.1,SP,RHS repeat-associated core domain-containing protein [Xanthomonas oryzae],RHS,3564,184.0,3748.0,3.4e-55,,0
xoo,WP_012444473.1,OTHER,DUF6531 domain-containing protein [Xanthomonas oryzae],RHS,3232,236.7,3468.7,1e-71,,0
xoo,WP_129215632.1,OTHER,RHS repeat-associated core domain-containing protein [Xanthomonas oryzae],RHS,2918,243.8,3161.8,5.800000000000001e-74,,0
xoo,WP_129215608.1,OTHER,IPT/TIG domain-containing protein [Xanthomonas oryzae],IPT/TIG,2791,35.9,2826.9,8.7e-09,,1
xoo,WP_229002594.1,OTHER,RHS repeat domain-containing protein [Xanthomonas oryzae],RHS,2342,198.5,2540.5,1e-59,,1
xoo,WP_242505189.1,OTHER,type VI secretion system Vgr family protein [Xanthomonas oryzae],Phage,1974,225.4,2199.4,1.3e-66,possible_virulence,1
xoo,WP_206737953.1,OTHER,type VI secretion system Vgr family protein [Xanthomonas oryzae],Phage,1865,224.8,2089.8,2.0000000000000002e-66,possible_virulence,1
xoo,WP_129215671.1,OTHER,T6SS effector BTH_I2691 family protein [Xanthomonas oryzae],VasX,1954,134.0,2088.0,7e-39,possible_virulence,2
xoo,WP_129215596.1,OTHER,T6SS effector BTH_I2691 family protein [Xanthomonas oryzae],VasX,1943,142.8,2085.8,1.3999999999999998e-41,possible_virulence,2
xoo,WP_129215587.1,OTHER,T6SS effector BTH_I2691 family protein [Xanthomonas oryzae],VasX,1943,142.6,2085.6,1.5e-41,possible_virulence,2
