ID	Protein description	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bit_score	target_name	target_accession	query_accession	full_evalue	full_score	full_bias	best1_evalue	best1_score	best1_bias	exp	reg	clu	ov	env	dom	rep	inc	description	virulence_literature	T3E_secreted_evidence	species_source
WP_011051977.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	1.0	1e-06	0.0	0.0	0.0	0.0		100.0	88	0	0	1	88	1	88	3.77e-60	170.0	RebB	PF11747.14	-	1e-27	96.6	13.6	1.3e-27	96.3	13.6	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Killing			citrus
WP_011051978.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	1.0	2.5e-05	0.0	0.0	0.0	0.0		100.0	92	0	0	1	92	1	92	2.44e-64	181.0	RebB	PF11747.14	-	1.1000000000000002e-28	99.7	12.6	1.4000000000000001e-28	99.4	12.6	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Killing			citrus
WP_011051980.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	0.616811	0.380965	0.001009	0.000384	0.000315	0.000503		100.0	81	0	0	1	81	1	81	4.73e-53	152.0	RebB	PF11747.14	-	2.1e-13	50.8	5.4	2.1e-13	50.8	5.4	1.6	1.0	1.0	1.0	2.0	2.0	2.0	1.0	Killing			citrus
WP_011052127.1	MULTISPECIES: pilin [Xanthomonas]	PILIN	0.011876	6.2e-05	2.2e-05	2e-06	1e-06	0.988061	CS pos: 6-7. Pr: 0.7378	100.0	146	0	0	1	146	1	146	6.92e-107	293.0	Pilin	PF00114.25	-	1.1e-21	78.4	9.3	1.2e-21	78.2	9.3	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Pilin			citrus
WP_011052147.1	MULTISPECIES: XVIPCD domain-containing protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	861	0	0	1	861	1	861	0.0	1744.0	X-Tfes_XVIPCD	PF20410.4	-	1.9e-09	38.6	0.1	1.9e-09	38.6	0.1	3.0	3.0	0.0	0.0	3.0	3.0	3.0	1.0	X-Tfes,			citrus
WP_011052193.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1334	0	0	1	1334	1	1334	0.0	2652.0																					citrus
WP_011052194.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	216	0	0	1	216	1	216	2.5600000000000002e-160	434.0																					citrus
WP_011052963.1	MULTISPECIES: M48 family metalloprotease [Xanthomonas]	OTHER	1.0	1e-06	0.0	0.0	0.0	0.0		100.0	201	0	0	1	201	1	201	6.1999999999999996e-148	401.0	Peptidase_M48	PF01435.25	-	2.4e-09	37.9	1.3	2.8e-09	37.6	1.3	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Peptidase			citrus
WP_011052998.1	MULTISPECIES: ParA family protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	255	0	0	1	255	1	255	0.0	522.0	AAA_31	PF13614.13	-	2.1999999999999996e-24	86.9	0.0	3.0999999999999997e-24	86.4	0.0	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0	AAA			citrus
WP_015462607.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1.0	1e-06	0.0	0.0	0.0	0.0		100.0	102	0	0	1	102	14	115	2.09e-75	210.0																					citrus
WP_015463221.1	MULTISPECIES: ParA family protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	294	0	0	1	294	1	294	0.0	581.0	AAA_31	PF13614.13	-	1.7e-24	87.3	0.0	2.5999999999999996e-24	86.7	0.0	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0	AAA			citrus
WP_015463244.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	0.99976	0.000247	1.2e-05	1e-06	0.0	9e-06		100.0	250	0	0	1	250	1	250	0.0	505.0																					citrus
WP_015463430.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1.0	3e-06	0.0	0.0	0.0	0.0		100.0	258	0	0	1	258	1	258	0.0	511.0																					citrus
WP_015463457.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	1.0	7e-06	0.0	0.0	0.0	0.0		100.0	222	0	0	1	222	1	222	2.51e-143	391.0	RebB	PF11747.14	-	3.6e-15	56.5	8.1	3.6e-15	56.5	8.1	3.4	3.0	1.0	0.0	3.0	3.0	3.0	1.0	Killing			citrus
WP_015463526.1	MULTISPECIES: pilin [Xanthomonas]	PILIN	0.066901	0.00045	0.000112	1e-05	3e-06	0.932505	CS pos: 13-14. Pr: 0.6901	100.0	151	0	0	1	151	1	151	4.58e-112	306.0	Pilin	PF00114.25	-	5.6e-21	76.1	1.4	6.9e-21	75.8	1.4	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Pilin			citrus
WP_015472080.1	helix-turn-helix transcriptional regulator [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	95	0	0	1	95	1	95	6.639999999999999e-69	193.0	Phage_AlpA	PF05930.19	-	9.7e-13	48.4	0.1	1.2e-12	48.1	0.1	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Prophage			citrus
WP_045714871.1	calcium-binding protein [Xanthomonas citri]	OTHER	0.997729	0.002264	2.5e-05	5e-06	3e-06	1.3e-05		100.0	1315	0	0	1	1315	1	1315	0.0	2508.0	HemolysinCabind	PF00353.26	-	1.6e-63	210.7	252.2	2.6e-10	40.6	14.6	21.5	16.0	7.0	7.0	25.0	25.0	25.0	16.0	RTX			citrus
WP_052456244.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1307	0	0	1	1307	1	1307	0.0	2612.0																					citrus
WP_052690681.1	putative Ig domain-containing protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	805	0	0	1	805	1	805	0.0	1596.0	He_PIG	PF05345.19	-	1.3e-49	167.2	23.7	3.6000000000000003e-22	79.2	0.8	5.0	5.0	0.0	0.0	5.0	5.0	5.0	3.0	Putative			citrus
WP_087943923.1	MULTISPECIES: IS3-like element ISXac2 family transposase [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	362	0	0	1	362	1	362	0.0	754.0	HTH_Tnp_1	PF01527.27	-	8.9e-23	80.9	0.5	2.4e-22	79.5	0.1	1.9	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Transposase			citrus
WP_087943924.1	MULTISPECIES: IS3-like element ISXac4 family transposase [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	370	0	0	1	370	1	370	0.0	764.0	rve_3	PF13683.13	-	1.9e-21	76.2	0.1	5.6e-21	74.7	0.1	1.9	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Integrase			citrus
WP_089504397.1	MULTISPECIES: IS3-like element ISXac2 family transposase [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	362	0	0	1	362	1	362	0.0	754.0	HTH_Tnp_1	PF01527.27	-	8.9e-23	80.9	0.5	2.4e-22	79.5	0.1	1.9	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Transposase			citrus
WP_191589000.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1224	0	0	1	1224	1	1224	0.0	2469.0																					citrus
WP_191589001.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	216	0	0	1	216	1	216	3.1100000000000003e-161	436.0																					citrus
WP_223293126.1	MULTISPECIES: IS3 family transposase [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	362	0	0	1	362	1	362	0.0	757.0	HTH_Tnp_1	PF01527.27	-	6.3999999999999995e-24	84.5	0.7	7.6e-23	81.1	0.0	2.3	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Transposase			citrus
WP_223293138.1	MULTISPECIES: IS3 family transposase [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	377	0	0	1	377	1	377	0.0	779.0	rve_3	PF13683.13	-	1.8e-26	92.3	0.1	4.9999999999999996e-26	90.9	0.0	1.8	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Integrase			citrus
WP_321824086.1	MULTISPECIES: helix-turn-helix domain-containing protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	65	0	0	1	65	1	65	6.51e-45	130.0	HTH_3	PF01381.29	-	6.5e-17	61.9	0.2	7e-17	61.8	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Helix-turn-helix			citrus
WP_442712794.1	hypothetical protein [Xanthomonas citri]	OTHER	0.998229	0.001732	1.9e-05	7e-06	3e-06	5e-06		100.0	135	0	0	1	135	1	135	3.67e-100	275.0																					citrus
WP_442712798.1	IS3-like element ISXac2 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	362	0	0	1	362	1	362	0.0	753.0	HTH_Tnp_1	PF01527.27	-	5.7e-23	81.5	0.7	2.4e-22	79.5	0.1	2.2	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Transposase			citrus
WP_442712811.1	hypothetical protein [Xanthomonas citri]	OTHER	0.999961	8.6e-05	0.0	0.0	0.0	0.0		100.0	253	0	0	1	253	1	253	0.0	509.0																					citrus
WP_442712813.1	hypothetical protein [Xanthomonas citri]	SP	0.072356	0.926205	0.00053	0.000353	0.000272	0.000263	CS pos: 46-47. Pr: 0.4771	100.0	253	0	0	1	253	1	253	0.0	525.0																					citrus
WP_442712818.1	DUF7380 domain-containing protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	354	0	0	1	354	1	354	0.0	731.0	DUF7380	PF24098.2	-	1.2000000000000001e-30	107.3	0.1	1.9999999999999998e-30	106.5	0.1	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Domain			citrus
WP_442712828.1	esterase/lipase family protein [Xanthomonas citri]	LIPO	0.087571	0.352378	0.559235	0.000328	0.000241	0.000239	CS pos: 10-11. Pr: 0.5220	100.0	627	0	0	1	627	1	627	0.0	1285.0	Abhydrolase_6	PF12697.14	-	1.7e-07	32.7	2.2	1.7e-07	32.7	2.2	2.2	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Alpha/beta			citrus
WP_442712838.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	115	0	0	1	115	1	115	5.35e-86	238.0																					citrus
WP_442712840.1	ParA family protein [Xanthomonas citri]	OTHER	1.0	1e-06	0.0	0.0	0.0	0.0		100.0	274	0	0	1	274	1	274	0.0	563.0	AAA_31	PF13614.13	-	5.600000000000001e-22	79.0	0.0	8.6e-22	78.5	0.0	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0	AAA			citrus
WP_442712845.1	hypothetical protein [Xanthomonas citri]	OTHER	0.999985	1.5e-05	0.0	0.0	0.0	0.0		100.0	95	0	0	1	95	1	95	2.9400000000000004e-66	186.0	DUF4118	PF13493.12	-	2.5e-06	27.8	0.9	3.6e-06	27.3	0.9	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Domain			citrus
WP_442712846.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	69	0	0	1	69	34	102	4.25e-50	144.0																					citrus
WP_005924051.1	serine/threonine-protein kinase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	350	0	0	1	350	1	350	0.0	723.0	Pkinase	PF00069.32	-	8.8e-43	147.2	0.0	1.2e-42	146.7	0.0	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Protein			grape
WP_033485020.1	type IV secretion system protein [Xanthomonas citri]	OTHER	1.0	3e-06	0.0	0.0	0.0	0.0		100.0	360	0	0	1	360	1	360	0.0	721.0	TrbL	PF04610.20	-	3.6e-37	128.8	21.6	6.2e-37	128.0	21.6	1.4	1.0	0.0	0.0	1.0	1.0	1.0	1.0	TrbL/VirB6	possible_virulence		grape
WP_033485021.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	144	0	0	1	144	1	144	1.02e-105	289.0																					grape
WP_033485033.1	P-type DNA transfer protein VirB5 [Xanthomonas citri]	SP	0.000254	0.999097	0.000175	0.000164	0.000147	0.000137	CS pos: 21-22. Pr: 0.9692	100.0	236	0	0	1	236	1	236	1.45e-180	486.0	T4SS	PF07996.17	-	1.6000000000000002e-65	221.8	14.0	1.9e-65	221.6	14.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Type			grape
WP_033485481.1	helix-turn-helix domain-containing protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	389	0	0	1	389	1	389	0.0	796.0	Peptidase_M78	PF06114.20	-	1.7e-21	76.9	0.1	3.8e-21	75.7	0.1	1.6	2.0	0.0	0.0	2.0	2.0	2.0	1.0	IrrE			grape
WP_033485945.1	MULTISPECIES: type IV secretion system protein [Xanthomonas]	OTHER	1.0	1e-05	0.0	0.0	0.0	0.0		100.0	360	0	0	1	360	1	360	0.0	722.0	TrbL	PF04610.20	-	2.7e-36	126.0	22.9	2.7e-36	126.0	22.9	1.6	1.0	1.0	0.0	1.0	1.0	1.0	1.0	TrbL/VirB6	possible_virulence		grape
WP_033485946.1	MULTISPECIES: EexN family lipoprotein [Xanthomonas]	LIPO	0.0	7e-06	1.0	0.0	0.0	0.0	CS pos: 16-17. Pr: 0.9965	100.0	81	0	0	1	81	1	81	2.54e-59	167.0																					grape
WP_050495026.1	MULTISPECIES: helix-turn-helix domain-containing protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	366	0	0	1	366	1	366	0.0	754.0	Peptidase_M78	PF06114.20	-	1.1e-18	67.8	0.0	4e-18	66.0	0.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	1.0	IrrE			grape
WP_050495088.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1.0	2.5e-05	0.0	0.0	0.0	0.0		100.0	123	0	0	1	123	1	123	2.54e-93	256.0																					grape
WP_080715180.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	59	0	0	1	59	1	59	5.85e-42	121.0																					grape
WP_080715265.1	serine/threonine-protein kinase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	295	0	0	1	295	1	295	0.0	620.0	Pkinase	PF00069.32	-	6.5e-36	124.6	0.0	2.1e-35	123.0	0.0	1.6	1.0	1.0	1.0	2.0	2.0	2.0	1.0	Protein			grape
WP_080715310.1	serine/threonine-protein kinase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	360	0	0	1	360	1	360	0.0	746.0	Pkinase	PF00069.32	-	7.1e-46	157.3	0.0	9.3e-46	156.9	0.0	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Protein			grape
WP_080715314.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	5e-06	0.0	0.0	0.0	0.0		100.0	109	0	0	1	109	1	109	1.83e-77	214.0																					grape
WP_098477617.1	EexN family lipoprotein [Xanthomonas citri]	LIPO	0.0	9e-06	1.0	0.0	0.0	0.0	CS pos: 16-17. Pr: 0.9965	100.0	83	0	0	1	83	1	83	2.46e-62	174.0																					grape
WP_134952608.1	MULTISPECIES: hypothetical protein [Xanthomonas]	SP	0.155213	0.825425	0.017346	0.001226	0.000418	0.000354	CS pos: 39-40. Pr: 0.7192	100.0	329	0	0	1	329	1	329	0.0	682.0																					grape
WP_136614833.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	1.2e-05	0.0	0.0	0.0	0.0		100.0	262	0	0	1	262	1	262	0.0	541.0																					grape
WP_136614834.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	144	0	0	1	144	1	144	4.55e-107	292.0																					grape
WP_136614837.1	hypothetical protein [Xanthomonas citri]	OTHER	0.999942	8.8e-05	2e-06	0.0	0.0	0.0		100.0	266	0	0	1	266	1	266	0.0	548.0																					grape
WP_164677996.1	MULTISPECIES: P-type DNA transfer protein VirB5 [Xanthomonas]	SP	0.00027	0.999108	0.000178	0.000156	0.000138	0.000134	CS pos: 21-22. Pr: 0.9634	100.0	236	0	0	1	236	1	236	1.34e-180	486.0	T4SS	PF07996.17	-	7.7e-67	226.1	14.7	8.8e-67	225.9	14.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Type			grape
WP_181143283.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	112	0	0	1	112	1	112	8.66e-84	231.0																					grape
WP_232350812.1	hypothetical protein [Xanthomonas citri]	OTHER	0.999999	2e-06	2e-06	0.0	0.0	0.0		100.0	49	0	0	1	49	1	49	2.84e-34	101.0																					grape
WP_232350932.1	zeta toxin family protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1273	0	0	1	1273	1	1273	0.0	2552.0	Zeta_toxin	PF06414.19	-	7.999999999999999e-56	189.2	0.0	1.4999999999999999e-55	188.3	0.0	1.4	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Zeta			grape
WP_244440999.1	transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	217	0	0	1	217	1	217	8.420000000000001e-166	447.0	Y1_Tnp	PF01797.22	-	6.7e-12	46.2	0.0	9.1e-12	45.8	0.0	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Transposase			grape
WP_244441022.1	peptidoglycan-binding protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1222	0	0	1	1222	1	1222	0.0	2449.0	PG_binding_1	PF01471.24	-	8.3e-14	52.1	1.4	2.7e-13	50.5	1.4	2.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Putative			grape
WP_005918293.1	MULTISPECIES: nucleotidyl transferase AbiEii/AbiGii toxin family protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	285	0	0	1	285	1	285	0.0	585.0	AbiEii	PF08843.18	-	4.2e-24	86.4	0.9	5.0999999999999995e-24	86.1	0.9	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Nucleotidyl			pomegranate
WP_005932853.1	RHS Repeat family protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	355	0	0	1	355	1	355	0.0	726.0																					pomegranate
WP_005932979.1	XopAG/AvrGf1 family type III secretion system effector [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	508	0	0	1	508	1	508	0.0	1058.0																			possible_virulence	T3E_or_secreted_candidate	pomegranate
WP_005933765.1	recombinase family protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	215	0	0	1	215	1	215	7.2e-157	424.0	Resolvase	PF00239.27	-	3.4e-20	73.2	5.8	1.9e-19	70.7	5.8	1.9	1.0	1.0	0.0	1.0	1.0	1.0	1.0	Resolvase,			pomegranate
WP_033480720.1	hypothetical protein [Xanthomonas citri]	LIPO	0.001469	0.207608	0.790248	0.00025	0.000269	0.000137	CS pos: 37-38. Pr: 0.7381	100.0	237	0	0	1	237	1	237	0.0	491.0																					pomegranate
WP_087947207.1	IS3-like element ISXca2 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	369	0	0	1	369	1	369	0.0	764.0	rve_3	PF13683.13	-	7.1e-27	93.6	0.0	1.9999999999999998e-26	92.1	0.0	1.8	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Integrase			pomegranate
WP_160964032.1	MULTISPECIES: IS5 family transposase [Lysobacteraceae]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	458	0	0	1	458	1	458	0.0	930.0	DUF772	PF05598.17	-	4.4e-19	69.4	0.0	9.5e-19	68.3	0.0	1.6	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Transposase			pomegranate
WP_176558546.1	hypothetical protein [Xanthomonas citri]	OTHER	0.999939	8.8e-05	3e-06	0.0	0.0	0.0		100.0	246	0	0	1	246	1	246	0.0	488.0																					pomegranate
WP_176558553.1	MULTISPECIES: IS3 family transposase [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	371	0	0	1	371	1	371	0.0	771.0	rve_3	PF13683.13	-	3.9e-25	88.0	0.0	1.0999999999999998e-24	86.5	0.0	1.9	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Integrase			pomegranate
WP_192486482.1	recombinase family protein [Xanthomonas citri]	OTHER	1.0	1e-06	0.0	0.0	0.0	0.0		100.0	242	0	0	1	242	1	242	1.9400000000000002e-173	469.0	Resolvase	PF00239.27	-	1.8e-20	74.1	1.5	9.1e-20	71.8	1.5	1.9	1.0	1.0	0.0	1.0	1.0	1.0	1.0	Resolvase,			pomegranate
WP_192486489.1	IS5 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	458	0	0	1	458	1	458	0.0	931.0	DUF772	PF05598.17	-	4.4e-19	69.4	0.0	9.5e-19	68.3	0.0	1.6	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Transposase			pomegranate
WP_192486500.1	IS5 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	458	0	0	1	458	1	458	0.0	931.0	DUF772	PF05598.17	-	4.4e-19	69.4	0.0	9.5e-19	68.3	0.0	1.6	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Transposase			pomegranate
WP_233700203.1	IS3 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	367	0	0	1	367	1	367	0.0	764.0	rve_3	PF13683.13	-	9.7e-25	86.7	0.0	2.5e-24	85.4	0.0	1.8	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Integrase			pomegranate
WP_233700229.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	194	0	0	1	194	1	194	6.34e-148	400.0																					pomegranate
WP_233700232.1	LysM domain protein [Xanthomonas citri]	OTHER	1.0	2e-06	0.0	0.0	0.0	0.0		100.0	3263	0	0	1	3263	1	3263	0.0	6556.0	RHS_repeat	PF05593.20	-	3.8e-179	579.0	375.6	2.1e-07	31.8	3.3	63.7	50.0	15.0	14.0	68.0	68.0	68.0	56.0	RHS			pomegranate
WP_233700242.1	NYN domain-containing protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	104	0	0	1	104	1	104	4.78e-76	211.0																					pomegranate
WP_233700255.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	395	0	0	1	395	1	395	0.0	784.0																					pomegranate
WP_233700259.1	MULTISPECIES: NYN domain-containing protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	323	0	0	1	323	1	323	0.0	663.0																					pomegranate
