ID	Protein description	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bit_score	target_name	target_accession	query_accession	full_evalue	full_score	full_bias	best1_evalue	best1_score	best1_bias	exp	reg	clu	ov	env	dom	rep	inc	description	virulence_literature	T3E_secreted_evidence	species_source	final_rank_score	rank_percentile
WP_442712813.1	hypothetical protein [Xanthomonas citri]	SP	0.072356	0.926205	0.00053	0.000353	0.000272	0.000263	CS pos: 46-47. Pr: 0.4771	100.0	253	0	0	1	253	1	253	0.0	525.0																					citrus	525.0	0.725
WP_015463430.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1.0	3e-06	0.0	0.0	0.0	0.0		100.0	258	0	0	1	258	1	258	0.0	511.0																					citrus	511.0	0.735
WP_442712811.1	hypothetical protein [Xanthomonas citri]	OTHER	0.999961	8.6e-05	0.0	0.0	0.0	0.0		100.0	253	0	0	1	253	1	253	0.0	509.0																					citrus	509.0	0.7375
WP_015463244.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	0.99976	0.000247	1.2e-05	1e-06	0.0	9e-06		100.0	250	0	0	1	250	1	250	0.0	505.0																					citrus	505.0	0.74
WP_015463457.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	1.0	7e-06	0.0	0.0	0.0	0.0		100.0	222	0	0	1	222	1	222	2.51e-143	391.0	RebB	PF11747.14	-	3.6e-15	56.5	8.1	3.6e-15	56.5	8.1	3.4	3.0	1.0	0.0	3.0	3.0	3.0	1.0	Killing			citrus	447.5	0.77
WP_011052963.1	MULTISPECIES: M48 family metalloprotease [Xanthomonas]	OTHER	1.0	1e-06	0.0	0.0	0.0	0.0		100.0	201	0	0	1	201	1	201	6.2e-148	401.0	Peptidase_M48	PF01435.25	-	2.4e-09	37.9	1.3	2.8e-09	37.6	1.3	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Peptidase			citrus	438.9	0.7725
WP_011051633.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	216	0	0	1	216	1	216	4.46e-161	436.0																					citrus	436.0	0.77625
WP_191589001.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	216	0	0	1	216	1	216	3.1100000000000003e-161	436.0																					citrus	436.0	0.77625
WP_011052194.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	216	0	0	1	216	1	216	2.56e-160	434.0																					citrus	434.0	0.78
WP_015463526.1	MULTISPECIES: pilin [Xanthomonas]	PILIN	0.066901	0.00045	0.000112	1e-05	3e-06	0.932505	CS pos: 13-14. Pr: 0.6901	100.0	151	0	0	1	151	1	151	4.58e-112	306.0	Pilin	PF00114.25	-	5.6e-21	76.1	1.4	6.9e-21	75.8	1.4	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Pilin			citrus	382.1	0.8075
WP_011052127.1	MULTISPECIES: pilin [Xanthomonas]	PILIN	0.011876	6.2e-05	2.2e-05	2e-06	1e-06	0.988061	CS pos: 6-7. Pr: 0.7378	100.0	146	0	0	1	146	1	146	6.92e-107	293.0	Pilin	PF00114.25	-	1.1e-21	78.4	9.3	1.2e-21	78.2	9.3	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Pilin			citrus	371.4	0.8125
WP_011051752.1	MULTISPECIES: type IV pilin protein [Xanthomonas]	PILIN	0.038852	0.000307	7.1e-05	5e-06	2e-06	0.960763	CS pos: 12-13. Pr: 0.6801	100.0	143	0	0	1	143	1	143	1.14e-105	290.0	ComP_DUS	PF16732.11	-	5.8e-18	66.1	7.0	8e-18	65.7	7.0	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Type			citrus	356.1	0.82
WP_011051389.1	MULTISPECIES: helix-turn-helix transcriptional regulator [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	120	0	0	1	120	1	120	8.82e-87	240.0	Phage_AlpA	PF05930.19	-	1.9e-12	47.4	1.0	2.9e-12	46.8	0.5	1.6	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Prophage			citrus	287.4	0.85
WP_011051975.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	0.999714	0.000301	4e-06	1e-06	1e-06	1e-06		100.0	97	0	0	1	97	1	97	3.96e-67	188.0	RebB	PF11747.14	-	4.7000000000000005e-28	97.8	16.1	7e-28	97.2	16.1	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Killing			citrus	285.8	0.8575
WP_011051978.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	1.0	2.5e-05	0.0	0.0	0.0	0.0		100.0	92	0	0	1	92	1	92	2.44e-64	181.0	RebB	PF11747.14	-	1.1000000000000002e-28	99.7	12.6	1.4e-28	99.4	12.6	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Killing			citrus	280.7	0.86
WP_442712794.1	hypothetical protein [Xanthomonas citri]	OTHER	0.998229	0.001732	1.9e-05	7e-06	3e-06	5e-06		100.0	135	0	0	1	135	1	135	3.67e-100	275.0																					citrus	275.0	0.8625
WP_011051976.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	0.999844	0.000185	2e-06	1e-06	0.0	1e-06		100.0	89	0	0	1	89	1	89	8.25e-61	172.0	RebB	PF11747.14	-	2.3000000000000003e-28	98.7	15.3	3e-28	98.4	15.3	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Killing			citrus	270.7	0.87
WP_011051977.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	1.0	1e-06	0.0	0.0	0.0	0.0		100.0	88	0	0	1	88	1	88	3.77e-60	170.0	RebB	PF11747.14	-	1e-27	96.6	13.6	1.3e-27	96.3	13.6	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Killing			citrus	266.6	0.8725
WP_015472080.1	helix-turn-helix transcriptional regulator [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	95	0	0	1	95	1	95	6.639999999999998e-69	193.0	Phage_AlpA	PF05930.19	-	9.7e-13	48.4	0.1	1.2e-12	48.1	0.1	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Prophage			citrus	241.4	0.89
WP_442712838.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	115	0	0	1	115	1	115	5.35e-86	238.0																					citrus	238.0	0.895
WP_011051385.1	MULTISPECIES: helix-turn-helix domain-containing protein [Xanthomonas]	OTHER	0.999405	0.000588	3.1e-05	3e-06	1e-06	1e-05		100.0	98	0	0	1	98	1	98	5.4900000000000006e-70	196.0	HTH_3	PF01381.29	-	1.1e-09	38.8	0.0	1.7e-09	38.1	0.0	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Helix-turn-helix			citrus	234.8	0.9025
WP_011051413.1	MULTISPECIES: AlpA family transcriptional regulator [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	75	0	0	1	75	1	75	6.7e-54	153.0	Phage_AlpA	PF05930.19	-	8.700000000000001e-22	77.3	0.5	1e-21	77.1	0.5	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Prophage			citrus	230.3	0.91
WP_442712845.1	hypothetical protein [Xanthomonas citri]	OTHER	0.999985	1.5e-05	0.0	0.0	0.0	0.0		100.0	95	0	0	1	95	1	95	2.9400000000000004e-66	186.0	DUF4118	PF13493.12	-	2.5e-06	27.8	0.9	3.6e-06	27.3	0.9	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Domain			citrus	213.8	0.9225
WP_015462607.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1.0	1e-06	0.0	0.0	0.0	0.0		100.0	102	0	0	1	102	14	115	2.09e-75	210.0																					citrus	210.0	0.9275
WP_011051980.1	MULTISPECIES: RebB family R body protein [Xanthomonas]	OTHER	0.616811	0.380965	0.001009	0.000384	0.000315	0.000503		100.0	81	0	0	1	81	1	81	4.73e-53	152.0	RebB	PF11747.14	-	2.1e-13	50.8	5.4	2.1e-13	50.8	5.4	1.6	1.0	1.0	1.0	2.0	2.0	2.0	1.0	Killing			citrus	202.8	0.93
WP_321824086.1	MULTISPECIES: helix-turn-helix domain-containing protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	65	0	0	1	65	1	65	6.51e-45	130.0	HTH_3	PF01381.29	-	6.5e-17	61.9	0.2	7e-17	61.8	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Helix-turn-helix			citrus	191.9	0.935
WP_442712846.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	69	0	0	1	69	34	102	4.25e-50	144.0																					citrus	144.0	0.9575
WP_232350932.1	zeta toxin family protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1273	0	0	1	1273	1	1273	0.0	2552.0	Zeta_toxin	PF06414.19	-	7.9999999999999985e-56	189.2	0.0	1.4999999999999999e-55	188.3	0.0	1.4	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Zeta			grape	2741.2	0.015
WP_244441022.1	peptidoglycan-binding protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1222	0	0	1	1222	1	1222	0.0	2449.0	PG_binding_1	PF01471.24	-	8.3e-14	52.1	1.4	2.7e-13	50.5	1.4	2.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Putative			grape	2501.1	0.0275
WP_080715310.1	serine/threonine-protein kinase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	360	0	0	1	360	1	360	0.0	746.0	Pkinase	PF00069.32	-	7.1e-46	157.3	0.0	9.3e-46	156.9	0.0	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Protein			grape	903.3	0.3025
WP_033485481.1	helix-turn-helix domain-containing protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	389	0	0	1	389	1	389	0.0	796.0	Peptidase_M78	PF06114.20	-	1.7e-21	76.9	0.1	3.8e-21	75.7	0.1	1.6	2.0	0.0	0.0	2.0	2.0	2.0	1.0	IrrE			grape	872.9	0.3275
WP_005924051.1	serine/threonine-protein kinase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	350	0	0	1	350	1	350	0.0	723.0	Pkinase	PF00069.32	-	8.8e-43	147.2	0.0	1.2e-42	146.7	0.0	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Protein			grape	870.2	0.3325
WP_033485020.1	type IV secretion system protein [Xanthomonas citri]	OTHER	1.0	3e-06	0.0	0.0	0.0	0.0		100.0	360	0	0	1	360	1	360	0.0	721.0	TrbL	PF04610.20	-	3.6e-37	128.8	21.6	6.2e-37	128.0	21.6	1.4	1.0	0.0	0.0	1.0	1.0	1.0	1.0	TrbL/VirB6	possible_virulence		grape	849.8	0.355
WP_033485945.1	MULTISPECIES: type IV secretion system protein [Xanthomonas]	OTHER	1.0	1e-05	0.0	0.0	0.0	0.0		100.0	360	0	0	1	360	1	360	0.0	722.0	TrbL	PF04610.20	-	2.7e-36	126.0	22.9	2.7e-36	126.0	22.9	1.6	1.0	1.0	0.0	1.0	1.0	1.0	1.0	TrbL/VirB6	possible_virulence		grape	848.0	0.3575
WP_050495026.1	MULTISPECIES: helix-turn-helix domain-containing protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	366	0	0	1	366	1	366	0.0	754.0	Peptidase_M78	PF06114.20	-	1.1e-18	67.8	0.0	4e-18	66.0	0.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	1.0	IrrE			grape	821.8	0.3975
WP_080715265.1	serine/threonine-protein kinase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	295	0	0	1	295	1	295	0.0	620.0	Pkinase	PF00069.32	-	6.5e-36	124.6	0.0	2.1e-35	123.0	0.0	1.6	1.0	1.0	1.0	2.0	2.0	2.0	1.0	Protein			grape	744.6	0.525
WP_164677996.1	MULTISPECIES: P-type DNA transfer protein VirB5 [Xanthomonas]	SP	0.00027	0.999108	0.000178	0.000156	0.000138	0.000134	CS pos: 21-22. Pr: 0.9634	100.0	236	0	0	1	236	1	236	1.34e-180	486.0	T4SS	PF07996.17	-	7.7e-67	226.1	14.7	8.8e-67	225.9	14.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Type			grape	712.1	0.5375
WP_033485033.1	P-type DNA transfer protein VirB5 [Xanthomonas citri]	SP	0.000254	0.999097	0.000175	0.000164	0.000147	0.000137	CS pos: 21-22. Pr: 0.9692	100.0	236	0	0	1	236	1	236	1.45e-180	486.0	T4SS	PF07996.17	-	1.6000000000000004e-65	221.8	14.0	1.9e-65	221.6	14.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Type			grape	707.8	0.545
WP_134952608.1	MULTISPECIES: hypothetical protein [Xanthomonas]	SP	0.155213	0.825425	0.017346	0.001226	0.000418	0.000354	CS pos: 39-40. Pr: 0.7192	100.0	329	0	0	1	329	1	329	0.0	682.0																					grape	682.0	0.5675
WP_136614837.1	hypothetical protein [Xanthomonas citri]	OTHER	0.999942	8.8e-05	2e-06	0.0	0.0	0.0		100.0	266	0	0	1	266	1	266	0.0	548.0																					grape	548.0	0.7175
WP_136614833.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	1.2e-05	0.0	0.0	0.0	0.0		100.0	262	0	0	1	262	1	262	0.0	541.0																					grape	541.0	0.7225
WP_244440999.1	transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	217	0	0	1	217	1	217	8.420000000000002e-166	447.0	Y1_Tnp	PF01797.22	-	6.7e-12	46.2	0.0	9.1e-12	45.8	0.0	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Transposase			grape	493.2	0.755
WP_136614834.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	144	0	0	1	144	1	144	4.55e-107	292.0																					grape	292.0	0.8425
WP_033485021.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	144	0	0	1	144	1	144	1.02e-105	289.0																					grape	289.0	0.84625
WP_050495088.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1.0	2.5e-05	0.0	0.0	0.0	0.0		100.0	123	0	0	1	123	1	123	2.54e-93	256.0																					grape	256.0	0.88
WP_181143283.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	112	0	0	1	112	1	112	8.66e-84	231.0																					grape	231.0	0.90625
WP_080715314.1	hypothetical protein [Xanthomonas citri]	OTHER	1.0	5e-06	0.0	0.0	0.0	0.0		100.0	109	0	0	1	109	1	109	1.83e-77	214.0																					grape	214.0	0.92
WP_098477617.1	EexN family lipoprotein [Xanthomonas citri]	LIPO	0.0	9e-06	1.0	0.0	0.0	0.0	CS pos: 16-17. Pr: 0.9965	100.0	83	0	0	1	83	1	83	2.46e-62	174.0																					grape	174.0	0.94
WP_033485946.1	MULTISPECIES: EexN family lipoprotein [Xanthomonas]	LIPO	0.0	7e-06	1.0	0.0	0.0	0.0	CS pos: 16-17. Pr: 0.9965	100.0	81	0	0	1	81	1	81	2.54e-59	167.0																					grape	167.0	0.945
WP_080715180.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	59	0	0	1	59	1	59	5.85e-42	121.0																					grape	121.0	0.975
WP_232350812.1	hypothetical protein [Xanthomonas citri]	OTHER	0.999999	2e-06	2e-06	0.0	0.0	0.0		100.0	49	0	0	1	49	1	49	2.84e-34	101.0																					grape	101.0	0.9825
WP_233700232.1	LysM domain protein [Xanthomonas citri]	OTHER	1.0	2e-06	0.0	0.0	0.0	0.0		100.0	3263	0	0	1	3263	1	3263	0.0	6556.0	RHS_repeat	PF05593.20	-	3.8e-179	579.0	375.6	2.1e-07	31.8	3.3	63.7	50.0	15.0	14.0	68.0	68.0	68.0	56.0	RHS			pomegranate	7135.0	0.0025
WP_306291509.1	XopAG/AvrGf1 family type III secretion system effector [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	532	0	0	1	532	1	532	0.0	1109.0																			possible_virulence	T3E_or_secreted_candidate	pomegranate	1109.0	0.21
WP_005932979.1	XopAG/AvrGf1 family type III secretion system effector [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	508	0	0	1	508	1	508	0.0	1058.0																			possible_virulence	T3E_or_secreted_candidate	pomegranate	1058.0	0.2175
WP_192486489.1	IS5 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	458	0	0	1	458	1	458	0.0	931.0	DUF772	PF05598.17	-	4.4e-19	69.4	0.0	9.5e-19	68.3	0.0	1.6	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Transposase			pomegranate	1000.4	0.26625
WP_192486500.1	IS5 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	458	0	0	1	458	1	458	0.0	931.0	DUF772	PF05598.17	-	4.4e-19	69.4	0.0	9.5e-19	68.3	0.0	1.6	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Transposase			pomegranate	1000.4	0.26625
WP_160964032.1	MULTISPECIES: IS5 family transposase [Lysobacteraceae]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	458	0	0	1	458	1	458	0.0	930.0	DUF772	PF05598.17	-	4.4e-19	69.4	0.0	9.5e-19	68.3	0.0	1.6	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Transposase			pomegranate	999.4	0.2725
WP_233700267.1	hypothetical protein [Xanthomonas citri]	OTHER	0.999934	8.8e-05	3e-06	0.0	0.0	0.0		100.0	448	0	0	1	448	1	448	0.0	885.0																					pomegranate	885.0	0.3125
WP_176558553.1	MULTISPECIES: IS3 family transposase [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	371	0	0	1	371	1	371	0.0	771.0	rve_3	PF13683.13	-	3.9e-25	88.0	0.0	1.0999999999999998e-24	86.5	0.0	1.9	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Integrase			pomegranate	859.0	0.335
WP_087947207.1	IS3-like element ISXca2 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	369	0	0	1	369	1	369	0.0	764.0	rve_3	PF13683.13	-	7.1e-27	93.6	0.0	1.9999999999999998e-26	92.1	0.0	1.8	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Integrase			pomegranate	857.6	0.3375
WP_425525089.1	IS3 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	370	0	0	1	370	1	370	0.0	768.0	rve_3	PF13683.13	-	3.7e-25	88.1	0.0	1.0999999999999998e-24	86.5	0.0	1.9	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Integrase			pomegranate	856.1	0.34375
WP_425525091.1	IS3 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	370	0	0	1	370	1	370	0.0	768.0	rve_3	PF13683.13	-	3.7e-25	88.1	0.0	1.0999999999999998e-24	86.5	0.0	1.9	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Integrase			pomegranate	856.1	0.34375
