ID	Protein description	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bit_score	target_name	target_accession	query_accession	full_evalue	full_score	full_bias	best1_evalue	best1_score	best1_bias	expected	regions	clusters	overlap count	envelope count	domains	repeats	inclusion	description
WP_011259588.1	MULTISPECIES: cytochrome-c peroxidase [Xanthomonas]	SP	0.063441	0.929913	0.001899	0.00401	0.00046	0.000245	CS pos: 40-41. Pr: 0.8849	100	330	0	0	1	330	1	330	0	671	CCP_MauG	PF03150.20	-	5.6E-39	134.7	0	8.2E-34	118	0	2.2	2	0	0	2	2	2	2	Di-haem
WP_011259834.1	hypothetical protein [Xanthomonas oryzae]	SP	0.000256	0.999098	0.000182	0.000159	0.000156	0.000149	CS pos: 21-22. Pr: 0.9774	100	175	0	0	1	175	1	175	2.02E-131	359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_011259865.1	hypothetical protein [Xanthomonas oryzae]	OTHER	0.999975	0.000063	0.000001	0	0	0	NA	100	150	0	0	1	150	1	150	3.98E-112	308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_011260741.1	DUF4123 domain-containing protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	158	0	0	1	158	1	158	7.8E-116	318	DUF4123	PF13503.12	-	3.9E-22	79.3	2.7	4.7E-22	79	2.7	1.1	1	0	0	1	1	1	1	Domain
WP_011260742.1	PAAR domain-containing protein [Xanthomonas oryzae]	OTHER	1	0.000001	0	0	0	0	NA	100	144	0	0	1	144	1	144	1.19E-102	284	PAAR_motif	PF05488.19	-	2.1E-23	82.8	4.1	3.3E-23	82.2	4.1	1.3	1	0	0	1	1	1	1	PAAR
WP_011260863.1	AAA family ATPase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	398	0	0	1	398	1	398	0	813	AAA_21	PF13304.13	-	3.7E-30	106.5	1.3	1.4E-29	104.7	1.3	1.8	1	1	0	1	1	1	1	AAA
WP_011407237.1	IS30-like element IS1112a family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	318	0	0	1	318	1	318	0	651	HTH_38	PF13936.13	-	8.8E-16	58	6.2	2.8E-15	56.3	1.9	2.6	2	0	0	2	2	2	1	Helix-turn-helix
WP_011407513.1	hypothetical protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	129	0	0	1	129	1	129	2.38E-88	247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_011407587.1	MULTISPECIES: IS630 family transposase [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	344	0	0	1	344	1	344	0	703	DDE_3	PF13358.13	-	8.9E-36	123.5	0	1.3E-35	123	0	1.2	1	0	0	1	1	1	1	DDE
WP_011407713.1	ISL3-like element ISXoo13 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	411	0	0	1	411	1	411	0	849	DDE_Tnp_ISL3	PF01610.24	-	6.1E-60	203.6	0.5	7.6E-60	203.3	0.5	1.1	1	0	0	1	1	1	1	Transposase
WP_011407913.1	MULTISPECIES: IS4-like element ISXo14 family transposase [Gammaproteobacteria]	OTHER	1	0	0	0	0	0	NA	100	404	0	0	1	404	1	404	0	803	DDE_Tnp_1	PF01609.28	-	1E-22	81.5	0	2E-22	80.5	0	1.4	1	0	0	1	1	1	1	Transposase
WP_011408397.1	MULTISPECIES: IS256-like element IS1113 family transposase [Gammaproteobacteria]	OTHER	1	0	0	0	0	0	NA	100	394	0	0	1	394	1	394	0	813	Transposase_mut	PF00872.25	-	5.7E-110	368.4	0.5	7E-110	368.1	0.5	1	1	0	0	1	1	1	1	Transposase,
WP_011408522.1	IS256-like element IS1113 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	394	0	0	1	394	1	394	0	812	Transposase_mut	PF00872.25	-	1.8E-109	366.7	0.4	2.2E-109	366.4	0.4	1	1	0	0	1	1	1	1	Transposase,
WP_011408538.1	hypothetical protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	143	0	0	1	143	1	143	2.59E-103	286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_011408694.1	IS701-like element ISXo15 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	439	0	0	1	439	1	439	0	903	DDE_5	PF13546.13	-	5.5E-85	285.8	9.8	9.6E-85	285	9.8	1.4	1	0	0	1	1	1	1	DDE
WP_011409251.1	MULTISPECIES: type VI immunity family protein [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	356	0	0	1	356	1	356	0	732	TsiV	PF11876.14	-	1.2E-59	202.5	0	1.4E-59	202.3	0	1.1	1	0	0	1	1	1	1	Type
WP_011409252.1	MULTISPECIES: type VI immunity family protein [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	361	0	0	1	361	1	361	0	743	TsiV	PF11876.14	-	1.3E-61	209	0	1.5E-61	208.7	0	1.1	1	0	0	1	1	1	1	Type
WP_011409406.1	MULTISPECIES: hypothetical protein [Xanthomonas]	SP	0.000374	0.998874	0.000205	0.000198	0.000169	0.000159	CS pos: 22-23. Pr: 0.9786	100	188	0	0	1	188	1	188	5.35E-141	385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_011409407.1	MULTISPECIES: hypothetical protein [Xanthomonas]	LIPO	0.000744	0.427014	0.571516	0.00037	0.000189	0.000147	CS pos: 24-25. Pr: 0.5134	100	161	0	0	1	161	1	161	9.72E-119	326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_011409668.1	MULTISPECIES: methyltransferase family protein [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	153	0	0	1	153	1	153	1.02E-109	303	PEMT	PF04191.19	-	2E-12	48.1	0.1	3.5E-12	47.3	0.1	1.4	1	0	0	1	1	1	1	Phospholipid
WP_012443584.1	IS630 family transposase [Xanthomonas oryzae]	OTHER	1	0.000001	0	0	0	0	NA	100	348	0	0	1	348	1	348	0	706	DDE_3	PF13358.13	-	3.1E-32	112	0	4.6E-32	111.5	0	1.3	1	0	0	1	1	1	1	DDE
WP_012443641.1	IS5-like element ISXoo7 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	326	0	0	1	326	1	326	0	677	DDE_Tnp_1	PF01609.28	-	1.7E-27	97.1	2.3	2.5E-27	96.5	2.3	1.2	1	0	0	1	1	1	1	Transposase
WP_012443646.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0.000001	0	0	0	0	NA	100	458	0	0	1	458	1	458	0	930	DUF772	PF05598.17	-	3.1E-19	69.9	0	6.1E-19	68.9	0	1.5	1	0	0	1	1	1	1	Transposase
WP_012443687.1	IS5-like element ISXoo5 family transposase [Xanthomonas oryzae]	OTHER	1	0.000001	0	0	0	0	NA	100	491	0	0	1	491	1	491	0	999	DUF772	PF05598.17	-	6.9E-15	55.9	0.1	1E-10	42.6	0	2.5	1	1	0	2	2	2	2	Transposase
WP_012443699.1	T6SS effector phospholipase Tle3 domain-containing protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	714	0	0	1	714	1	714	0	1484	Tle3	PF24322.3	-	7.2E-109	364.7	0	9.3E-109	364.4	0	1.1	1	0	0	1	1	1	1	T6SS
WP_012443701.1	MULTISPECIES: membrane protein [Xanthomonas]	OTHER	0.99957	0.000181	0.000216	0.000002	0	0.000033	NA	100	48	0	0	1	48	1	48	8.7E-32	98.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_012443703.1	type VI lipase adapter Tla3 domain-containing protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	558	0	0	1	558	1	558	0	1131	Tla3_C	PF20995.4	-	6.7E-49	166	0	1.2E-48	165.2	0	1.4	1	0	0	1	1	1	1	Type
WP_012443802.1	MULTISPECIES: hypothetical protein [Xanthomonas]	OTHER	0.999995	0	0	0	0	0	NA	100	44	0	0	1	44	1	44	4.79E-29	90.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_012443821.1	IS630 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	352	0	0	1	352	1	352	0	716	DDE_3	PF13358.13	-	4.7E-33	114.7	0	6.7E-33	114.2	0	1.2	1	0	0	1	1	1	1	DDE
WP_012443979.1	ISL3-like element ISXoo13 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	411	0	0	1	411	1	411	0	850	DDE_Tnp_ISL3	PF01610.24	-	9.7E-60	202.9	0.5	1.2E-59	202.6	0.5	1.1	1	0	0	1	1	1	1	Transposase
WP_012444101.1	type VI secretion system Vgr family protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	328	0	0	1	328	1	328	0	669	Phage_GPD	PF05954.18	-	2.4E-33	116.1	0.1	3.7E-33	115.5	0.1	1.2	1	0	0	1	1	1	1	Phage
WP_012444104.1	MULTISPECIES: contractile injection system protein, VgrG/Pvc8 family [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	143	0	0	1	143	1	143	6.27E-104	287	Phage_GPD	PF05954.18	-	7.6E-27	94.8	0.1	8.5E-27	94.7	0.1	1	1	0	0	1	1	1	1	Phage
WP_012444301.1	IS630 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	352	0	0	1	352	1	352	0	710	DDE_3	PF13358.13	-	4.1E-33	114.9	0	6.1E-33	114.3	0	1.3	1	0	0	1	1	1	1	DDE
WP_012444325.1	hypothetical protein [Xanthomonas oryzae]	OTHER	0.999993	0	0	0	0	0	NA	100	48	0	0	1	48	1	48	1.2E-31	97.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_012444328.1	PAAR domain-containing protein [Xanthomonas oryzae]	OTHER	1	0.000022	0	0	0	0	NA	100	86	0	0	1	86	1	86	6.62E-59	169	PAAR_motif	PF05488.19	-	1.3E-26	93	6.6	1.6E-26	92.8	6.6	1.1	1	0	0	1	1	1	1	PAAR
WP_012444350.1	DUF3304 domain-containing protein [Xanthomonas oryzae]	LIPO	0.001021	0.271317	0.726698	0.000274	0.000536	0.000146	CS pos: 38-39. Pr: 0.7037	100	195	0	0	1	195	1	195	2.31E-149	406	DUF3304	PF11745.14	-	4.9E-32	110.8	0	7.1E-32	110.3	0	1.2	1	0	0	1	1	1	1	Protein
WP_012444351.1	T6SS phospholipase effector Tle1-like catalytic domain-containing protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	802	0	0	1	802	1	802	0	1657	T6SS_Tle1-like_cat	PF09994.15	-	1.4E-24	87.6	0.1	1.3E-12	48.2	0	3	2	1	1	3	3	3	2	T6SS,
WP_012444375.1	ISL3 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	472	0	0	1	472	1	472	0	983	DDE_Tnp_ISL3	PF01610.24	-	3.9E-62	210.8	0.1	7.9E-62	209.8	0	1.5	2	0	0	2	2	2	1	Transposase
WP_012444470.1	MULTISPECIES: type VI secretion system tip protein TssI/VgrG [Xanthomonas]	OTHER	1	0	0	0	0	0	NA	100	748	0	0	1	748	1	748	0	1548	Phage_GPD	PF05954.18	-	8.3E-81	272	3	1.3E-80	271.4	0.3	2.1	2	0	0	2	2	2	1	Phage
WP_012444471.1	hypothetical protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	539	0	0	1	539	1	539	0	1088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_012444473.1	DUF6531 domain-containing protein [Xanthomonas oryzae]	OTHER	1	0.000003	0	0	0	0	NA	100	1579	0	0	1	1579	1	1579	0	3232	RHS_repeat	PF05593.20	-	1E-71	236.7	89.7	1E-10	42.3	1.4	16.8	18	0	0	18	18	18	13	RHS
WP_012444561.1	DnaB-like helicase C-terminal domain-containing protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	231	0	0	1	231	1	231	4.47E-177	479	DnaB_C	PF03796.22	-	8.5E-28	98	0	1E-27	97.8	0	1.1	1	0	0	1	1	1	1	DnaB-like
WP_012444628.1	contractile injection system protein, VgrG/Pvc8 family [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	94	0	0	1	94	1	94	8.52E-68	192	Phage_GPD	PF05954.18	-	2.3E-18	67	0.1	2.7E-18	66.8	0.1	1	1	0	0	1	1	1	1	Phage
WP_012444636.1	type VI secretion system Vgr family protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	920	0	0	1	920	1	920	0	1828	Phage_GPD	PF05954.18	-	4.4E-70	236.8	6.9	4.4E-70	236.8	6.9	1.5	2	0	0	2	2	2	1	Phage
WP_012445091.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0.000001	0	0	0	0	NA	100	491	0	0	1	491	1	491	0	999	DUF772	PF05598.17	-	1.9E-12	48.1	0.1	9.4E-10	39.5	0	2.6	1	1	1	2	2	2	2	Transposase
WP_012445230.1	ISL3-like element ISXoo13 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	411	0	0	1	411	1	411	0	851	DDE_Tnp_ISL3	PF01610.24	-	9.7E-60	202.9	0.4	1.2E-59	202.6	0.4	1.1	1	0	0	1	1	1	1	Transposase
WP_012445372.1	hypothetical protein [Xanthomonas oryzae]	OTHER	1	0.000001	0	0	0	0	NA	100	67	0	0	1	67	1	67	1.08E-48	142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_012445373.1	T6SS effector BTH_I2691 family protein [Xanthomonas oryzae]	OTHER	0.999843	0.000145	0.000021	0.000001	0	0.000008	NA	100	944	0	0	1	944	1	944	0	1944	VasX_N	PF20249.4	-	2.6E-38	132.1	0	6.3E-38	130.9	0	1.7	1	0	0	1	1	1	1	VasX
WP_012445394.1	ISL3-like element ISXoo13 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	411	0	0	1	411	1	411	0	850	DDE_Tnp_ISL3	PF01610.24	-	3.6E-60	204.3	0.5	4.5E-60	204	0.5	1.1	1	0	0	1	1	1	1	Transposase
WP_012445627.1	IS630 family transposase [Xanthomonas oryzae]	OTHER	1	0.000001	0	0	0	0	NA	100	333	0	0	1	333	1	333	0	690	HTH_23	PF13384.13	-	1.5E-13	50.7	2.3	1.3E-11	44.5	0.4	2.7	2	0	0	2	2	2	1	Homeodomain-like
WP_012445794.1	ISL3-like element ISXoo13 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	411	0	0	1	411	1	411	0	849	DDE_Tnp_ISL3	PF01610.24	-	1.7E-60	205.4	0.5	2.2E-60	205.1	0.5	1.1	1	0	0	1	1	1	1	Transposase
WP_012445919.1	membrane protein [Xanthomonas oryzae]	OTHER	0.999738	0.000091	0.000153	0.000001	0	0.000007	NA	100	48	0	0	1	48	1	48	1.35E-31	97.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_012445924.1	type VI lipase adapter Tla3 domain-containing protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	560	0	0	1	560	1	560	0	1134	Tla3_C	PF20995.4	-	2.7E-49	167.2	0	6.7E-49	166	0	1.7	2	0	0	2	2	2	1	Type
WP_012445925.1	T6SS effector phospholipase Tle3 domain-containing protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	715	0	0	1	715	1	715	0	1488	Tle3	PF24322.3	-	1.1E-108	364.2	0	1.4E-108	363.8	0	1.1	1	0	0	1	1	1	1	T6SS
WP_012446080.1	methyltransferase family protein [Xanthomonas oryzae]	OTHER	0.99936	0.000574	0.000026	0.000001	0.000001	0.000014	NA	100	59	0	0	1	59	1	59	2.79E-41	122	PEMT	PF04191.19	-	0.0000096	26.6	0	0.00001	26.5	0	1	1	0	0	1	1	1	1	Phospholipid
WP_012446470.1	hypothetical protein [Xanthomonas oryzae]	OTHER	1	0.00001	0.000001	0	0	0	NA	100	113	0	0	1	113	1	113	1.43E-82	231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_024712752.1	hypothetical protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	67	0	0	1	67	1	67	1.49E-45	134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_027703650.1	Tox-REase-5 domain-containing protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	261	0	0	1	261	1	261	0	545	Tox-REase-5	PF15648.13	-	9.7E-14	52.3	0.1	1.8E-13	51.5	0.1	1.4	1	0	0	1	1	1	1	Restriction
WP_027703651.1	hypothetical protein [Xanthomonas oryzae]	OTHER	1	0.000005	0	0	0	0	NA	100	110	0	0	1	110	1	110	2.29E-76	215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_027703659.1	AAA family ATPase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	397	0	0	1	397	1	397	0	824	AAA_21	PF13304.13	-	8.5E-29	102	0.4	1.2E-27	98.2	0.4	2.1	1	1	0	1	1	1	1	AAA
WP_027703834.1	hypothetical protein [Xanthomonas oryzae]	OTHER	0.724919	0.274382	0.000259	0.000206	0.000108	0.000111	NA	100	204	0	0	1	204	1	204	3.68E-152	414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_027703995.1	hypothetical protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	67	0	0	1	67	1	67	8.65E-47	137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_027704070.1	putative type VI secretion system effector [Xanthomonas oryzae]	OTHER	0.999959	0.000045	0	0	0	0	NA	100	235	0	0	1	235	1	235	6.86E-178	482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_027704080.1	putative type VI secretion system effector [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	243	0	0	1	243	1	243	0	501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_027704088.1	DUF4123 domain-containing protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	309	0	0	1	309	1	309	0	627	DUF4123	PF13503.12	-	2.2E-10	41.4	1	4.9E-10	40.2	0.3	1.9	2	0	0	2	2	2	1	Domain
WP_027704109.1	MULTISPECIES: PAAR domain-containing protein [Xanthomonas]	OTHER	1	0.000006	0	0	0	0	NA	100	136	0	0	1	136	1	136	1.88E-98	273	PAAR_motif	PF05488.19	-	2.8E-23	82.4	4.6	3.6E-23	82.1	4.6	1.1	1	0	0	1	1	1	1	PAAR
WP_027704110.1	DUF4123 domain-containing protein [Xanthomonas oryzae]	OTHER	1	0.000001	0	0	0	0	NA	100	169	0	0	1	169	1	169	1.29E-123	339	DUF4123	PF13503.12	-	2.6E-22	79.9	2.4	3.8E-22	79.3	2.4	1.2	1	0	0	1	1	1	1	Domain
WP_033013299.1	Imm52 family immunity protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	252	0	0	1	252	1	252	0	519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_033013546.1	putative type VI secretion system effector [Xanthomonas oryzae]	OTHER	0.997969	0.001982	0.000013	0.000013	0.000005	0.00001	NA	100	245	0	0	1	245	1	245	0	500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_041182236.1	DUF4123 domain-containing protein [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	281	0	0	1	281	1	281	0	565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WP_041182468.1	IS630 family transposase [Xanthomonas oryzae]	OTHER	1	0.000001	0	0	0	0	NA	100	360	0	0	1	360	1	360	0	748	DDE_3	PF13358.13	-	2.7E-17	63.6	0	4.5E-17	62.9	0	1.4	1	0	0	1	1	1	1	DDE
WP_041182574.1	IS30 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	318	0	0	1	318	1	318	0	650	HTH_38	PF13936.13	-	2E-15	56.8	6	1E-14	54.6	1	2.7	2	0	0	2	2	2	1	Helix-turn-helix
WP_041182581.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	668	DDE_Tnp_IS1595	PF12762.14	-	2.9E-36	125.3	0	4.2E-36	124.8	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_041182596.1	IS4 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	404	0	0	1	404	1	404	0	803	DDE_Tnp_1	PF01609.28	-	8.1E-24	85.1	0.4	2.4E-22	80.2	0	2.2	2	0	0	2	2	2	2	Transposase
WP_041182615.1	IS30 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	318	0	0	1	318	1	318	0	649	HTH_38	PF13936.13	-	6E-16	58.5	5.7	3E-15	56.2	1	2.7	2	0	0	2	2	2	1	Helix-turn-helix
WP_041182661.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	1E-36	126.7	0	1.5E-36	126.2	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_041182681.1	IS5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	458	0	0	1	458	1	458	0	932	DUF772	PF05598.17	-	3E-18	66.7	0	6.1E-18	65.7	0	1.6	1	0	0	1	1	1	1	Transposase
WP_041182719.1	IS30-like element IS1112b family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	318	0	0	1	318	1	318	0	650	HTH_38	PF13936.13	-	2.1E-15	56.7	4.7	1E-14	54.6	1	2.6	2	0	0	2	2	2	1	Helix-turn-helix
WP_041182722.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	9.7E-37	126.8	0	1.5E-36	126.3	0	1.3	1	0	0	1	1	1	1	ISXO2-like
WP_041182741.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	2.2E-35	122.4	0	3.2E-35	121.9	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_041182775.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	9.9E-34	117.1	0	1.4E-33	116.6	0	1.2	1	0	0	1	1	1	1	ISXO2-like
WP_041182780.1	IS1595-like element ISXo5 family transposase [Xanthomonas oryzae]	OTHER	1	0	0	0	0	0	NA	100	321	0	0	1	321	1	321	0	669	DDE_Tnp_IS1595	PF12762.14	-	1.4E-35	123	0	2.1E-35	122.5	0	1.2	1	0	0	1	1	1	1	ISXO2-like
