ID	Protein description	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position	percent_identity	alignment_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bit_score	target_name	target_accession	query_accession	full_evalue	full_score	full_bias	best1_evalue	best1_score	best1_bias	exp	reg	clu	ov	env	dom	rep	inc	description	virulence_literature	T3E_secreted_evidence	species_source	final_rank_score	rank_percentile
WP_164677996.1	MULTISPECIES: P-type DNA transfer protein VirB5 [Xanthomonas]	SP	0.00027	0.999108	0.000178	0.000156	0.000138	0.000134	CS pos: 21-22. Pr: 0.9634	100.0	236	0	0	1	236	1	236	1.34e-180	486.0	T4SS	PF07996.17	-	7.7e-67	226.1	14.7	8.8e-67	225.9	14.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Type			grape	712.1	0.5375
WP_233700232.1	LysM domain protein [Xanthomonas citri]	OTHER	1.0	2e-06	0.0	0.0	0.0	0.0		100.0	3263	0	0	1	3263	1	3263	0.0	6556.0	RHS_repeat	PF05593.20	-	3.8e-179	579.0	375.6	2.1e-07	31.8	3.3	63.7	50.0	15.0	14.0	68.0	68.0	68.0	56.0	RHS			pomegranate	7135.0	0.0025
WP_306291509.1	XopAG/AvrGf1 family type III secretion system effector [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	532	0	0	1	532	1	532	0.0	1109.0																			possible_virulence	T3E_or_secreted_candidate	pomegranate	1109.0	0.21
WP_005932979.1	XopAG/AvrGf1 family type III secretion system effector [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	508	0	0	1	508	1	508	0.0	1058.0																			possible_virulence	T3E_or_secreted_candidate	pomegranate	1058.0	0.2175
WP_192486489.1	IS5 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	458	0	0	1	458	1	458	0.0	931.0	DUF772	PF05598.17	-	4.4e-19	69.4	0.0	9.5e-19	68.3	0.0	1.6	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Transposase			pomegranate	1000.4	0.26625
WP_192486500.1	IS5 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	458	0	0	1	458	1	458	0.0	931.0	DUF772	PF05598.17	-	4.4e-19	69.4	0.0	9.5e-19	68.3	0.0	1.6	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Transposase			pomegranate	1000.4	0.26625
WP_160964032.1	MULTISPECIES: IS5 family transposase [Lysobacteraceae]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	458	0	0	1	458	1	458	0.0	930.0	DUF772	PF05598.17	-	4.4e-19	69.4	0.0	9.5e-19	68.3	0.0	1.6	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Transposase			pomegranate	999.4	0.2725
WP_233700267.1	hypothetical protein [Xanthomonas citri]	OTHER	0.999934	8.8e-05	3e-06	0.0	0.0	0.0		100.0	448	0	0	1	448	1	448	0.0	885.0																					pomegranate	885.0	0.3125
WP_176558553.1	MULTISPECIES: IS3 family transposase [Xanthomonas]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	371	0	0	1	371	1	371	0.0	771.0	rve_3	PF13683.13	-	3.9e-25	88.0	0.0	1.0999999999999998e-24	86.5	0.0	1.9	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Integrase			pomegranate	859.0	0.335
WP_087947207.1	IS3-like element ISXca2 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	369	0	0	1	369	1	369	0.0	764.0	rve_3	PF13683.13	-	7.1e-27	93.6	0.0	1.9999999999999998e-26	92.1	0.0	1.8	2.0	0.0	0.0	2.0	2.0	2.0	1.0	Integrase			pomegranate	857.6	0.3375
WP_425525089.1	IS3 family transposase [Xanthomonas citri]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	370	0	0	1	370	1	370	0.0	768.0	rve_3	PF13683.13	-	3.6999999999999996e-25	88.1	0.0	1.0999999999999998e-24	86.5	0.0	1.9	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Integrase			pomegranate	856.1	0.34375
WP_242505180.1	RHS repeat-associated core domain-containing protein [Xanthomonas oryzae]	SP	0.012564	0.70818	0.030636	0.240957	0.007229	0.000415	CS pos: 32-33. Pr: 0.6780	100.0	1760	0	0	1	1760	1	1760	0.0	3564.0	RHS_repeat	PF05593.20	-	3.4e-55	184.0	117.1	1.1e-06	29.4	1.5	20.0	13.0	3.0	9.0	22.0	22.0	22.0	17.0	RHS			xoo	3748.0	0.005
WP_012444473.1	DUF6531 domain-containing protein [Xanthomonas oryzae]	OTHER	1.0	3e-06	0.0	0.0	0.0	0.0		100.0	1579	0	0	1	1579	1	1579	0.0	3232.0	RHS_repeat	PF05593.20	-	1e-71	236.7	89.7	1e-10	42.3	1.4	16.8	18.0	0.0	0.0	18.0	18.0	18.0	13.0	RHS			xoo	3468.7	0.0075
WP_129215632.1	RHS repeat-associated core domain-containing protein [Xanthomonas oryzae]	OTHER	1.0	3e-06	0.0	0.0	0.0	0.0		100.0	1428	0	0	1	1428	1	1428	0.0	2918.0	RHS_repeat	PF05593.20	-	5.800000000000001e-74	243.8	84.1	9e-11	42.5	1.4	16.4	16.0	2.0	0.0	17.0	17.0	17.0	13.0	RHS			xoo	3161.8	0.01
WP_129215608.1	IPT/TIG domain-containing protein [Xanthomonas oryzae]	OTHER	1.0	9e-06	0.0	0.0	0.0	0.0		100.0	1441	0	0	1	1441	1	1441	0.0	2791.0	TIG	PF01833.31	-	8.7e-09	35.9	28.6	1.4e-07	32.0	2.5	5.6	5.0	0.0	0.0	5.0	5.0	5.0	2.0	IPT/TIG			xoo	2826.9	0.0125
WP_229002594.1	RHS repeat domain-containing protein [Xanthomonas oryzae]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	1156	0	0	1	1156	1	1156	0.0	2342.0	RHS_repeat	PF05593.20	-	1e-59	198.5	113.5	7e-07	30.1	1.5	19.8	13.0	3.0	9.0	22.0	22.0	22.0	19.0	RHS			xoo	2540.5	0.025
WP_242505189.1	type VI secretion system Vgr family protein [Xanthomonas oryzae]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	991	0	0	1	991	1	991	0.0	1974.0	Phage_GPD	PF05954.18	-	1.3e-66	225.4	2.5	2.5e-66	224.5	2.5	1.5	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Phage	possible_virulence		xoo	2199.4	0.0325
WP_206737953.1	type VI secretion system Vgr family protein [Xanthomonas oryzae]	OTHER	1.0	0.0	0.0	0.0	0.0	0.0		100.0	940	0	0	1	940	1	940	0.0	1865.0	Phage_GPD	PF05954.18	-	2.0000000000000002e-66	224.8	2.4	4.1e-66	223.8	2.4	1.5	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Phage	possible_virulence		xoo	2089.8	0.035
WP_129215671.1	T6SS effector BTH_I2691 family protein [Xanthomonas oryzae]	OTHER	0.999843	0.000145	2.1e-05	1e-06	0.0	8e-06		100.0	944	0	0	1	944	1	944	0.0	1954.0	VasX_N	PF20249.4	-	7e-39	134.0	0.0	1.5000000000000002e-38	132.9	0.0	1.6	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VasX	possible_virulence	T3E_or_secreted_candidate	xoo	2088.0	0.0375
WP_129215596.1	T6SS effector BTH_I2691 family protein [Xanthomonas oryzae]	OTHER	1.0	1e-06	0.0	0.0	0.0	0.0		100.0	955	0	0	1	955	1	955	0.0	1943.0	VasX_N	PF20249.4	-	1.3999999999999998e-41	142.8	0.0	2.6e-41	141.9	0.0	1.4	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VasX	possible_virulence	T3E_or_secreted_candidate	xoo	2085.8	0.04
WP_129215587.1	T6SS effector BTH_I2691 family protein [Xanthomonas oryzae]	OTHER	1.0	1e-06	0.0	0.0	0.0	0.0		100.0	954	0	0	1	954	1	954	0.0	1943.0	VasX_N	PF20249.4	-	1.5e-41	142.6	0.0	2.7999999999999997e-41	141.8	0.0	1.4	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VasX	possible_virulence	T3E_or_secreted_candidate	xoo	2085.6	0.0425
